tconst	ordering	nconst	category	job	characters
tt0006864	1	nm0001273	actress	\N	"[""The Woman Who Rocks the Cradle""]"
tt0006864	2	nm0001273	actress	\N	"[""Eternal Mother""]"
tt0006864	3	nm0366008	actor	\N	"[""The Boy""]"
tt0006864	4	nm0550615	actress	\N	"[""The Dear One""]"
tt0006864	5	nm0877548	actor	\N	"[""The Dear One's Father""]"
tt0006864	6	nm0208659	actor	\N	"[""Arthur Jenkins""]"
tt0006864	7	nm0507849	actress	\N	"[""Mary Jenkins""]"
tt0006864	8	nm0017488	actress	\N	"[""Uplifter""]"
tt0006864	9	nm0913432	actress	\N	"[""Uplifter""]"
tt0006864	10	nm0255466	actress	\N	"[""Uplifter""]"
tt0006864	11	nm1026284	actress	\N	"[""Uplifter""]"
tt0006864	12	nm0000428	director	\N	\N
tt0006864	13	nm0000428	writer	scenario	\N
tt0006864	14	nm0002616	writer	titles	\N
tt0006864	15	nm0000428	producer	producer	\N
tt0006864	16	nm0002301	composer	composer	\N
tt0006864	17	nm0005658	cinematographer	\N	\N
tt0006864	18	nm0808571	editor	\N	\N
tt0006864	19	nm0809817	editor	\N	\N
tt0009968	1	nm0001273	actress	\N	"[""Lucy - The Girl""]"
tt0009968	2	nm0001932	actor	\N	"[""Cheng Huan - The Yellow Man""]"
tt0009968	3	nm0187981	actor	\N	"[""Battling Burrows""]"
tt0009968	4	nm0397126	actor	\N	"[""Battling Burrows' Manager""]"
tt0009968	5	nm0081361	actor	\N	"[""Evil Eye""]"
tt0009968	6	nm0073239	actor	\N	"[""The Spying One""]"
tt0009968	7	nm0782999	actor	\N	"[""A Prizefighter""]"
tt0009968	8	nm0125330	actor	\N	"[""Secondary Role""]"
tt0009968	9	nm0357590	actor	\N	"[""Secondary Role""]"
tt0009968	10	nm0383278	actor	\N	"[""London Policeman""]"
tt0009968	11	nm0000428	director	director	\N
tt0009968	12	nm0121885	writer	adapted from 'The Chink and the Child' by	\N
tt0009968	13	nm0000428	writer	writer	\N
tt0009968	14	nm0005658	cinematographer	cinematographer	\N
tt0010323	1	nm0470328	actor	\N	"[""Dr. Caligari""]"
tt0010323	2	nm0891998	actor	\N	"[""Cesare""]"
tt0010323	3	nm0270415	actor	\N	"[""Franzis""]"
tt0010323	4	nm0196820	actress	\N	"[""Jane Olsen""]"
tt0010323	5	nm0903145	actor	\N	"[""Alan""]"
tt0010323	6	nm0504811	actor	\N	"[""Dr. Olsen""]"
tt0010323	7	nm0459030	actor	\N	"[""Ein Verbrecher""]"
tt0010323	8	nm0459030	actor	\N	"[""A Criminal""]"
tt0010323	9	nm0487085	actor	\N	"[""Ein Alter Mann""]"
tt0010323	10	nm0487085	actor	\N	"[""An Old Man""]"
tt0010323	11	nm0676742	actor	\N	"[""Ein Junger Arzt""]"
tt0010323	12	nm0676742	actor	\N	"[""A Young Doctor""]"
tt0010323	13	nm0720991	actor	\N	"[""Ein Mörder""]"
tt0010323	14	nm0720991	actor	\N	"[""A Murderer""]"
tt0010323	15	nm0927468	director	\N	\N
tt0010323	16	nm0562346	writer	written by	\N
tt0010323	17	nm0417917	writer	written by	\N
tt0010323	18	nm0031350	composer	\N	\N
tt0010323	19	nm0005959	composer	composer	\N
tt0010323	20	nm0110640	composer	composer	\N
tt0010323	21	nm2773733	composer	\N	\N
tt0010323	22	nm0005736	cinematographer	cinematographer	\N
tt0010323	23	nm0717808	production_designer	production_designer	\N
tt0010323	24	nm0753929	production_designer	production_designer	\N
tt0010323	25	nm0912315	production_designer	production_designer	\N
tt0011237	1	nm0917467	actor	\N	"[""Ein seltsames Geschöpf, genannt der Golem""]"
tt0011237	2	nm0917467	actor	\N	"[""A strange creature called the Golem""]"
tt0011237	3	nm0826210	actor	\N	"[""Der hohe Rabbi Löw""]"
tt0011237	4	nm0826210	actor	\N	"[""Rabbi Loew""]"
tt0011237	5	nm0222074	actor	\N	"[""Des Rabbi Famulus""]"
tt0011237	6	nm0222074	actor	\N	"[""The Rabbi's Famulus""]"
tt0011237	7	nm0758802	actress	\N	"[""Mirjam, des Rabbi Tochter""]"
tt0011237	8	nm0758802	actress	\N	"[""Mirjam, the Rabbi's Daughter""]"
tt0011237	9	nm0836755	actor	\N	"[""Der Rabbi Jehuda, der Älteste der Gemeinde""]"
tt0011237	10	nm0472174	actor	\N	"[""Der Tempeldiener""]"
tt0011237	11	nm0472174	actor	\N	"[""Temple Servant""]"
tt0011237	12	nm0311413	actor	\N	"[""Der Kaiser""]"
tt0011237	13	nm0311413	actor	\N	"[""Emperor Luhois""]"
tt0011237	14	nm0618450	actor	\N	"[""Der Junker Florian""]"
tt0011237	15	nm0618450	actor	\N	"[""Knight Florian""]"
tt0011237	16	nm0775659	actress	\N	"[""Das Mägdelein mit der Rose""]"
tt0011237	17	nm0775659	actress	\N	"[""Young Woman with Rose""]"
tt0011237	18	nm0248125	actor	\N	"[""Temple Servant""]"
tt0011237	19	nm0917467	director	\N	\N
tt0011237	20	nm0917467	writer	\N	\N
tt0011237	21	nm0301961	writer	\N	\N
tt0011237	22	nm0203452	producer	producer	\N
tt0011237	23	nm0485134	composer	\N	\N
tt0011237	24	nm10670231	composer	\N	\N
tt0011237	25	nm0006272	composer	composer	\N
tt0011237	26	nm0956802	composer	composer	\N
tt0011237	27	nm0005713	cinematographer	\N	\N
tt0011237	28	nm0005869	cinematographer	\N	\N
tt0012349	1	nm0000122	actor	\N	"[""A Tramp""]"
tt0012349	2	nm0701012	actress	\N	"[""The Woman""]"
tt0012349	3	nm0001067	actor	\N	"[""The Child""]"
tt0012349	4	nm0588033	actor	\N	"[""The Man""]"
tt0012349	5	nm0042317	actor	\N	"[""Car Thief""]"
tt0012349	6	nm0042317	actor	\N	"[""Man in Shelter""]"
tt0012349	7	nm0047800	actress	\N	"[""Bride""]"
tt0012349	8	nm0048798	actress	\N	"[""Slum Nurse""]"
tt0012349	9	nm0074788	actor	\N	"[""Professor Guido""]"
tt0012349	10	nm0074788	actor	\N	"[""Night Shelter Keeper""]"
tt0012349	11	nm0080930	actor	\N	"[""Orphan Asylum Driver""]"
tt0012349	12	nm0088471	actor	\N	"[""His Assistant""]"
tt0012349	13	nm0000122	director	director	\N
tt0012349	14	nm0000122	writer	written by	\N
tt0012349	15	nm0000122	producer	producer	\N
tt0012349	16	nm0000122	composer	composer	\N
tt0012364	1	nm0803705	actor	\N	"[""David Holm""]"
tt0012364	2	nm0096737	actress	\N	"[""Anna Holm - David Holms fru""]"
tt0012364	3	nm0841061	actor	\N	"[""Georges - Davids vän""]"
tt0012364	4	nm0391474	actress	\N	"[""Syster Edit - Slumsyster""]"
tt0012364	5	nm0782943	actress	\N	"[""Edits mor""]"
tt0012364	6	nm0526479	actress	\N	"[""Syster Maria - Slumsyster""]"
tt0012364	7	nm0917912	actor	\N	"[""Gustafsson - Frälsningssoldat""]"
tt0012364	8	nm0043509	actor	\N	"[""Davids yngre bror""]"
tt0012364	9	nm0959818	actor	\N	"[""Den första körkarlen""]"
tt0012364	10	nm0014363	actor	\N	"[""Fängelsepredikanten""]"
tt0012364	11	nm0803705	director	\N	\N
tt0012364	12	nm0481248	writer	novel	\N
tt0012364	13	nm0803705	writer	\N	\N
tt0012364	14	nm0005748	cinematographer	cinematographer	\N
tt0012494	1	nm0324553	actor	\N	"[""Death""]"
tt0012494	2	nm0324553	actor	\N	"[""Der Tod""]"
tt0012494	3	nm0324553	actor	\N	"[""El Mot""]"
tt0012494	4	nm0196820	actress	\N	"[""Young Woman""]"
tt0012494	5	nm0196820	actress	\N	"[""Das junge Mädchen""]"
tt0012494	6	nm0196820	actress	\N	"[""Zobeide""]"
tt0012494	7	nm0418079	actor	\N	"[""Young Man""]"
tt0012494	8	nm0418079	actor	\N	"[""Der junge Mann""]"
tt0012494	9	nm0418079	actor	\N	"[""Franke""]"
tt0012494	10	nm0827905	actor	\N	"[""Mayor""]"
tt0012494	11	nm0827905	actor	\N	"[""Bürgermeister""]"
tt0012494	12	nm1717198	actor	\N	"[""Reverend""]"
tt0012494	13	nm0010494	actor	\N	"[""Notary""]"
tt0012494	14	nm0010494	actor	\N	"[""Notar""]"
tt0012494	15	nm0010494	actor	\N	"[""Schatzmeister""]"
tt0012494	16	nm0225905	actor	\N	"[""Doctor""]"
tt0012494	17	nm0225905	actor	\N	"[""Arzt""]"
tt0012494	18	nm0655063	actor	\N	"[""Teacher""]"
tt0012494	19	nm0655063	actor	\N	"[""Lehrer""]"
tt0012494	20	nm0686783	actor	\N	"[""Pharmacist""]"
tt0012494	21	nm0686783	actor	\N	"[""Apotheker""]"
tt0012494	22	nm0681620	actor	\N	"[""Taylor""]"
tt0012494	23	nm0681620	actor	\N	"[""Schneider""]"
tt0012494	24	nm0000485	director	\N	\N
tt0012494	25	nm0000485	writer	\N	\N
tt0012494	26	nm0902376	writer	\N	\N
tt0012494	27	nm0690143	producer	producer	\N
tt0012494	28	nm0005959	composer	\N	\N
tt0012494	29	nm0006272	composer	composer	\N
tt0012494	30	nm0771954	composer	\N	\N
tt0012494	31	nm0005804	cinematographer	\N	\N
tt0012494	32	nm0633078	cinematographer	\N	\N
tt0012494	33	nm0754304	cinematographer	\N	\N
tt0012494	34	nm0863623	cinematographer	\N	\N
tt0012494	35	nm0000485	editor	\N	\N
tt0013086	1	nm0459030	actor	\N	"[""Dr. Mabuse""]"
tt0013086	2	nm0250790	actress	\N	"[""Cara Carozza, the dancer""]"
tt0013086	3	nm0919684	actress	\N	"[""Countess Dusy Told""]"
tt0013086	4	nm0002154	actor	\N	"[""Count Told""]"
tt0013086	5	nm0002154	actor	\N	"[""Richard Fleury - US version""]"
tt0013086	6	nm0324553	actor	\N	"[""Prosecutor von Wenk""]"
tt0013086	7	nm0324553	actor	\N	"[""Chief Inspector Norbert von Wenck""]"
tt0013086	8	nm0324553	actor	\N	"[""Chief Inspector De Witt - US version""]"
tt0013086	9	nm0725332	actor	\N	"[""Edgar Hull""]"
tt0013086	10	nm0287008	actor	\N	"[""Spoerri""]"
tt0013086	11	nm0772300	actor	\N	"[""Georg, the Chauffeur""]"
tt0013086	12	nm0313308	actor	\N	"[""Pesch""]"
tt0013086	13	nm0403917	actor	\N	"[""Hawasch""]"
tt0013086	14	nm0000485	director	\N	\N
tt0013086	15	nm0415167	writer	novel	\N
tt0013086	16	nm0902376	writer	screenplay	\N
tt0013086	17	nm0000485	writer	\N	\N
tt0013086	18	nm0690143	producer	producer	\N
tt0013086	19	nm0253301	composer	\N	\N
tt0013086	20	nm0004592	composer	\N	\N
tt0013086	21	nm5215306	composer	composer	\N
tt0013086	22	nm0956802	composer	\N	\N
tt0013086	23	nm0389155	cinematographer	director of photography	\N
tt0013086	24	nm0001178	editor	editor	\N
tt0013257	1	nm0159725	actor	\N	"[""Djævlen""]"
tt0013257	2	nm0159725	actor	\N	"[""The Devil""]"
tt0013257	3	nm0159770	actress	\N	"[""En ældre bondekone""]"
tt0013257	4	nm0159770	actress	\N	"[""Older Farm Lady""]"
tt0013257	5	nm0669922	actress	\N	"[""Heksen""]"
tt0013257	6	nm0669922	actress	\N	"[""The Witch""]"
tt0013257	7	nm0690702	actress	\N	"[""Nonne""]"
tt0013257	8	nm0690702	actress	\N	"[""Nun""]"
tt0013257	9	nm0684773	actor	\N	"[""Heksedommer""]"
tt0013257	10	nm0684773	actor	\N	"[""Witch Judge (The Young Monk)""]"
tt0013257	11	nm0834325	actor	\N	"[""Graabroder""]"
tt0013257	12	nm0834325	actor	\N	"[""Doctor (The Fat Monk)""]"
tt0013257	13	nm0854189	actress	\N	"[""En hysterisk kvinde""]"
tt0013257	14	nm0854189	actress	\N	"[""Modern Hysteric (The Kleptomaniac)""]"
tt0013257	15	nm0026172	actor	\N	"[""Chief Inquisitor""]"
tt0013257	16	nm0720632	actor	\N	"[""Juveler""]"
tt0013257	17	nm0720632	actor	\N	"[""Jeweler""]"
tt0013257	18	nm0936038	actress	\N	"[""Anna's Sister""]"
tt0013257	19	nm0159725	director	\N	\N
tt0013257	20	nm0159725	writer	\N	\N
tt0013257	21	nm0125762	composer	composer	\N
tt0013257	22	nm0345014	composer	\N	\N
tt0013257	23	nm0401654	composer	composer	\N
tt0013257	24	nm0433578	composer	composer	\N
tt0013257	25	nm0030170	cinematographer	\N	\N
tt0013257	26	nm0360768	editor	\N	\N
tt0013427	1	nm1354245	actor	\N	"[""Nanook""]"
tt0013427	2	nm0638725	actress	\N	"[""Nanook's Wife - the Smiling One""]"
tt0013427	3	nm0192066	actress	\N	"[""Cunayou - Nanook's Daughter""]"
tt0013427	4	nm0020180	actor	\N	"[""Allegoo - Nanook's Son""]"
tt0013427	5	nm4752207	actor	\N	"[""Camock - Nanook's Cat""]"
tt0013427	6	nm0471854	actor	\N	"[""Narrator (1939 re-release)""]"
tt0013427	7	nm0280904	director	\N	\N
tt0013427	8	nm0280904	producer	producer	\N
tt0013427	9	nm1018886	composer	composer	\N
tt0013427	10	nm0798978	composer	composer	\N
tt0013427	11	nm2625039	editor	editor	\N
tt0013442	1	nm0775180	actor	\N	"[""Graf Orlok""]"
tt0013442	2	nm0334603	actor	\N	"[""Knock - ein Häusermakler""]"
tt0013442	3	nm0903194	actor	\N	"[""Hutter""]"
tt0013442	4	nm0775659	actress	\N	"[""Ellen - seine Frau""]"
tt0013442	5	nm0774114	actor	\N	"[""Harding - ein Reeder""]"
tt0013442	6	nm0485146	actress	\N	"[""Ruth - seine Schwester""]"
tt0013442	7	nm0098774	actor	\N	"[""Professor Sievers - der Stadtarzt""]"
tt0013442	8	nm0332024	actor	\N	"[""Professor Bulwer - ein Paracelsianer""]"
tt0013442	9	nm0625947	actor	\N	"[""Ein Kapitän""]"
tt0013442	10	nm0374594	actor	\N	"[""1. Matrose""]"
tt0013442	11	nm0003638	director	\N	\N
tt0013442	12	nm0831290	writer	"based on the novel ""Dracula"" by"	\N
tt0013442	13	nm0301961	writer	freely adapted by	\N
tt0013442	14	nm0225868	producer	producer	\N
tt0013442	15	nm0336057	producer	producer	\N
tt0013442	16	nm0002302	composer	composer	\N
tt0013442	17	nm0923118	composer	composer	\N
tt0013442	18	nm0258762	composer	composer	\N
tt0013442	19	nm0308927	composer	composer	\N
tt0013442	20	nm0005922	cinematographer	cinematographer	\N
tt0014341	1	nm0000036	actor	\N	"[""Willie McKay - 21 Years Old""]"
tt0014341	2	nm0848231	actress	\N	"[""Virginia Canfield""]"
tt0014341	3	nm0444172	actor	\N	"[""The Engineer""]"
tt0014341	4	nm0731247	actor	\N	"[""Joseph Canfield""]"
tt0014341	5	nm0124287	actor	\N	"[""Canfield's 1st Son""]"
tt0014341	6	nm0172560	actor	\N	"[""The Parson""]"
tt0014341	7	nm0911469	actor	\N	"[""Canfield's 2nd Son""]"
tt0014341	8	nm0102901	actress	\N	"[""The Aunt""]"
tt0014341	9	nm0444167	actor	\N	"[""Willie McKay - 1 Year Old""]"
tt0014341	10	nm0085919	actor	\N	"[""Canfield's servant""]"
tt0014341	11	nm0090007	director	director	\N
tt0014341	12	nm0000036	director	\N	\N
tt0014341	13	nm0369841	writer	story	\N
tt0014341	14	nm0115669	writer	story	\N
tt0014341	15	nm0593477	writer	story	\N
tt0014341	16	nm0002301	composer	composer	\N
tt0014341	17	nm0421157	cinematographer	cinematographer	\N
tt0014341	18	nm0504380	cinematographer	cinematographer	\N
tt0014429	1	nm0516001	actor	\N	"[""Harold - The Boy""]"
tt0014429	2	nm0205192	actress	\N	"[""Mildred - The Girl""]"
tt0014429	3	nm0835128	actor	\N	"[""Limpy Bill - The Pal""]"
tt0014429	4	nm0949927	actor	\N	"[""Officer Jim Taylor - The Law""]"
tt0014429	5	nm0165051	actor	\N	"[""Mr. Stubbs, head floorwalker""]"
tt0014429	6	nm0045471	actor	\N	"[""Friendly Cop""]"
tt0014429	7	nm0051704	actor	\N	"[""Man in Straw Boater Hat""]"
