tconst	titleType	title	year	endYear	isAdult	runtime	genres	rating	numVotes	description	cast	streaming_platforms	url	scrape_status
tt0903747	tvSeries	Breaking Bad	2008.0	2013	0.0	45	Crime,Drama,Thriller	9.5	2405005.0	Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.			https://www.streamwithvpn.com/breaking-bad-2008	success
tt0111161	movie	The Shawshank Redemption	1994.0	\N	0.0	142	Drama	9.3	3104334.0	Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.			https://www.streamwithvpn.com/the-shawshank-redemption-1994	success
tt0417299	tvSeries	Avatar: The Last Airbender	2005.0	2008	0.0	23	Action,Adventure,Animation	9.3	417720.0	In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.			https://www.streamwithvpn.com/avatar-the-last-airbender-2005	success
tt0306414	tvSeries	The Wire	2002.0	2008	0.0	60	Crime,Drama,Thriller	9.3	413512.0	Told from the points of view of both the Baltimore homicide and narcotics detectives and their targets, the series captures a universe in which the national war on drugs has become a permanent, self-sustaining bureaucracy, and distinctions between good and evil are routinely obliterated.			https://www.streamwithvpn.com/the-wire-2002	success
tt0944947	tvSeries	Game of Thrones	2011.0	2019	0.0	60	Action,Adventure,Drama	9.2	2485498.0	Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.			https://www.streamwithvpn.com/game-of-thrones-2011	success
tt0068646	movie	The Godfather	1972.0	\N	0.0	175	Crime,Drama	9.2	2163561.0	Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.			https://www.streamwithvpn.com/the-godfather-1972	success
tt0141842	tvSeries	The Sopranos	1999.0	2007	0.0	60	Crime,Drama	9.2	545115.0	The story of New Jersey-based Italian-American mobster Tony Soprano and the difficulties he faces as he tries to balance the conflicting requirements of his home life and the criminal organization he heads. Those difficulties are often highlighted through his ongoing professional relationship with psychiatrist Jennifer Melfi. The show features Tony's family members and Mafia associates in prominent roles and story arcs, most notably his wife Carmela and his cousin and protégé Christopher Moltisanti.			https://www.streamwithvpn.com/the-sopranos-1999	success
tt0468569	movie	The Dark Knight	2008.0	\N	0.0	152	Action,Crime,Drama	9.1	3079402.0	Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.			https://www.streamwithvpn.com/the-dark-knight-2008	success
tt2560140	tvSeries	Attack on Titan	2013.0	2023	0.0	24	Action,Adventure,Animation	9.1	649760.0	100 years ago, the last remnants of humanity were forced to retreat behind the towering walls of a fortified city to escape the massive, man-eating Titans that roamed the land outside their fortress. Only the members of the Scouting Legion dared to stray beyond the safety of the walls – but even those brave warriors seldom returned alive. Those within the city clung to the illusion of a peaceful existence until the day that dream was shattered, and their slim chance at survival was reduced to one horrifying choice: kill – or be devoured!			https://www.streamwithvpn.com/attack-on-titan-2013	success
tt14392248	tvSeries	Aspirants	2021.0	\N	0.0	45	Drama	9.1	316623.0	Aspirants is a story of 3 friends - Abhilash, SK, and Guri. The story takes place in the past and the present where the past captures the struggle and the drama behind the making of UPSC CSE aspirants in Old Rajinder Nagar of Delhi, while the present talks about the aftermath. It is the story of three UPSC aspirants journey.			https://www.streamwithvpn.com/aspirants-2021	success
